Query,Rank,Product,Product_Rating,is_BestSeller,is_BestValue,is_Trending,is_Ad,is_FAssured,No_of_Ratings_and_Reviews,Seller_Name,Seller_Rating,Seller_Since,Seller_Product_Quality,Seller_Service_Quality
refrigerator,1,"Samsung 192 L Direct Cool Single Door 4 Star (2020) Refrigerator with Base Drawer  (Saffron Blue, RR20T182XU8/HL)",4.5,True,False,False,False,True,"29,869 Ratings & 3,932 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,2,"Samsung 192 L Direct Cool Single Door 2 Star (2020) Refrigerator  (Elective Silver, RR19T241BSE/NL)",4.4,False,False,False,False,True,"7,554 Ratings & 769 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,3,"Samsung 198 L Direct Cool Single Door 5 Star (2020) Refrigerator with Base Drawer  (Camellia Blue, RR21T2H2WCU/HL)",4.5,False,False,False,False,True,"2,762 Ratings & 422 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,4,"LG 260 L Frost Free Double Door 2 Star (2020) Refrigerator  (Dazzle Steel, GL-N292RDSY)",4.5,False,False,False,True,True,227 Ratings & 20 Reviews,RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,5,"Samsung 253 L Frost Free Double Door 3 Star (2020) Refrigerator  (Elegant Inox, RT28T3483S8/HL)",4.3,False,False,False,False,True,"3,732 Ratings & 479 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,6,"Whirlpool 265 L Frost Free Double Door 3 Star (2020) Convertible Refrigerator  (Magnum Steel, IF INV CNV 278 MAGNUM STEEL (3S)-N)",4.2,False,False,False,False,True,"7,180 Ratings & 848 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,7,"Haier 195 L Direct Cool Single Door 4 Star (2020) Refrigerator  (DAZZEL STEEL, HED-20CFDS)",4.4,False,False,False,False,True,"4,643 Ratings & 579 Reviews",OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,8,"Samsung 192 L Direct Cool Single Door 4 Star (2020) Refrigerator with Base Drawer  (Saffron Red, RR20T182XR8/HL)",4.5,False,False,False,False,True,"29,869 Ratings & 3,932 Reviews",OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,9,"LG 190 L Direct Cool Single Door 4 Star (2020) Refrigerator with Base Drawer  (Blue Plumeria, GL-D201ABPY)",4.4,False,False,False,False,True,"9,374 Ratings & 1,045 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,10,"Whirlpool 240 L Frost Free Triple Door Refrigerator  (Magnum Steel, FP 263D PROTTON ROY MAGNUM STEEL(N))",4.4,False,False,False,False,True,"8,537 Ratings & 1,161 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
